
2022/06/30 (12:53:42) | ===> btop++ v.1.2.3
2022/06/30 (12:53:42) | ERROR: Failed to get size of terminal!

2024/12/23 (09:27:58) | ===> btop++ v.1.4.0
2024/12/23 (09:27:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (10:46:17) | ===> btop++ v.1.4.0
2025/01/02 (10:46:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (10:46:28) | ===> btop++ v.1.4.0
2025/01/02 (10:46:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (15:54:05) | ===> btop++ v.1.4.0
2025/01/02 (15:54:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/06 (13:39:23) | ===> btop++ v.1.4.0
2025/01/06 (13:39:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/15 (08:46:44) | ===> btop++ v.1.4.0
2025/01/15 (08:46:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/30 (13:53:28) | ===> btop++ v.1.4.0
2025/01/30 (13:53:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/30 (14:20:15) | ===> btop++ v.1.4.0
2025/01/30 (14:20:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/30 (14:35:43) | ===> btop++ v.1.4.0
2025/01/30 (14:35:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/30 (14:55:40) | ===> btop++ v.1.4.0
2025/01/30 (14:55:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (10:29:48) | ===> btop++ v.1.4.0
2025/02/03 (10:29:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (20:06:42) | ===> btop++ v.1.4.0
2025/02/05 (20:06:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/08 (21:14:11) | ===> btop++ v.1.4.0
2025/02/08 (21:14:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/08 (21:15:46) | ===> btop++ v.1.4.0
2025/02/08 (21:15:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/08 (21:15:46) | ===> btop++ v.1.4.0
2025/02/08 (21:15:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/09 (18:31:17) | ===> btop++ v.1.4.0
2025/02/09 (18:31:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/09 (18:42:29) | ===> btop++ v.1.4.0
2025/02/09 (18:42:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/09 (21:12:25) | ===> btop++ v.1.4.0
2025/02/09 (21:12:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/10 (13:54:17) | ===> btop++ v.1.4.0
2025/02/10 (13:54:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
